id,title,amount_granted,amount_sought,init_year,period,gender,age,position,inst1_id,inst2_id,inst1_dirty,inst2_dirty,funder1_id,funder2_id,person_id,kw1,kw2,full_name,last_name,first_name,prob_inst_id,institution_name,funder_name,type,gender_new
88,defining the role of organic cation transporters in diabetes treatment,5000000,0,2013,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,3837,"","",jessen; niels,jessen,niels,0,aarhus-univ-hosp,novo nordisk,Projekt,1
89,transcriptome analysis of muscles from type 2 diabetic patients with severe insulin resistance,1457832,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,3837,"","",jessen; niels,jessen,niels,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
90,the role of i?b? in the pathogenesis of psoriasis,1108325,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,3861,"","",johansen; claus,johansen,claus,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,1
91,leverens ekskretoriske funktion hos patienter med kolestatisk leversygdom og raske målt med [n-methyl-11c]cholylsarcosin pet/ct.,450000,0,2011,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4108,"","",keiding; susanne,keiding,susanne,0,aarhus-univ-hosp,novo nordisk,Projekt,0
92,den raske og syge levers regionale perfusion og metaboliske kapacitet målt non-invasivt hos mennesker med dynamisk pet/ct,250000,0,2007,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4108,"","",keiding; susanne,keiding,susanne,0,aarhus-univ-hosp,novo nordisk,Projekt,0
93,therapeutic management of patients with hepatocellular carcinoma: clinical impact of 18f-deoxy-galactose pet/ct molecular imaging,1848953,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,4108,"","",keiding; susanne,keiding,susanne,0,aarhus-univ-hosp,det frie forskningsråd,Projekt,0
94,novel methods of assessing human embryo viability,1349183,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,4169,"","",kirkegaard; kirstine kjar,kirkegaard,kirstine kjar,0,aarhus-univ-hosp,det frie forskningsråd,Postdoc,0
95,"vågen- og lysterapi til indlagte patienter med depression - behandlingseffekt, prædiktorer og patientoplevelse",150000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4436,"","",kragh; mette,kragh,mette,0,aarhus-univ-hosp,novo nordisk,Projekt,0
96,prevention of thrombosis in coronary artery disease: novel mechanisms of aspirin treatment,5000000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4513,"","",kristensen; steen dalby,kristensen,steen dalby,0,aarhus-univ-hosp,novo nordisk,Projekt,1
97,diabetisk neurogastroenterologi,1000000,0,2014,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4543,"","",krogh; klaus,krogh,klaus,0,aarhus-univ-hosp,novo nordisk,Projekt,1
98,causes of chronic diarrhoea after treatment for cancer in cecum and the ascending colon,154403,0,2016,0,0,-1,"",12,1,aarhus universitetshospital,NULL,6,11,4794,"","",laurberg; soren,laurberg,soren,0,aarhus-univ-hosp,det frie forskningsråd,Skolarstipendier,1
99,resistance mechanisms and antibacterial treatment of chronic achromobacter infections in patients with cystic fibrosis,145000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4812,"","",lauritsen; niels norskov,lauritsen,niels norskov,0,aarhus-univ-hosp,novo nordisk,Skolarstipendier,1
100,anvendelighed og effekt af smartphone-applikationen recovery record i tværfaglig behandling af spiseforstyrrelser: patienter og klinikeres oplevelser,500000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,4972,"","",lindgreen; pil,lindgreen,pil,0,aarhus-univ-hosp,novo nordisk,Ph.d.,0
101,undersøgelse af lipolysen i humant muskel- og fedtvæv,300000,0,2009,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,5112,"","",lund; sten,lund,sten,0,aarhus-univ-hosp,novo nordisk,Projekt,1
102,er amp-aktiveret proteinkinase et nyt enzymsystem i behandlingen og forebyggelsen af depression og dennes følgesygdomme?,200000,0,2007,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,5112,"","",lund; sten,lund,sten,0,aarhus-univ-hosp,novo nordisk,Projekt,1
103,identification of novel primary immunodeficiencies conferring susceptibility to viral infections tandem program,600000,0,2015,0,0,-1,"",12,1,aarhus universitetshospital,NULL,1,2,5504,"","",mogensen; trine hyrup,mogensen,trine hyrup,0,aarhus-univ-hosp,novo nordisk,Projekt,0
